state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
42,101,"Philadelphia County, Pennsylvania",51091,65352.0,116443.0
42,103,"Pike County, Pennsylvania",510,0.0,510.0
42,105,"Potter County, Pennsylvania",76,0.0,76.0
42,107,"Schuylkill County, Pennsylvania",2183,1388.0,3571.0
42,109,"Snyder County, Pennsylvania",676,0.0,676.0
42,111,"Somerset County, Pennsylvania",697,1187.0,1884.0
42,113,"Sullivan County, Pennsylvania",18,0.0,18.0
42,115,"Susquehanna County, Pennsylvania",199,0.0,199.0
42,117,"Tioga County, Pennsylvania",497,631.0,1128.0
42,119,"Union County, Pennsylvania",1020,0.0,1020.0
42,121,"Venango County, Pennsylvania",1034,0.0,1034.0
42,123,"Warren County, Pennsylvania",652,1046.0,1698.0
42,125,"Washington County, Pennsylvania",5041,3361.0,8402.0
42,127,"Wayne County, Pennsylvania",683,0.0,683.0
42,129,"Westmoreland County, Pennsylvania",7396,3991.0,11387.0
42,131,"Wyoming County, Pennsylvania",240,0.0,240.0
42,133,"York County, Pennsylvania",10242,6303.0,16545.0
45,001,"Abbeville County, South Carolina",55,0.0,55.0
45,003,"Aiken County, South Carolina",2628,0.0,2628.0
45,005,"Allendale County, South Carolina",148,0.0,148.0
45,007,"Anderson County, South Carolina",3400,2681.0,6081.0
45,009,"Bamberg County, South Carolina",104,0.0,104.0
45,011,"Barnwell County, South Carolina",259,0.0,259.0
45,013,"Beaufort County, South Carolina",3388,2360.0,5748.0
45,015,"Berkeley County, South Carolina",2123,0.0,2123.0
45,017,"Calhoun County, South Carolina",81,0.0,81.0
45,019,"Charleston County, South Carolina",13081,11938.0,25019.0
45,021,"Cherokee County, South Carolina",433,0.0,433.0
45,023,"Chester County, South Carolina",198,0.0,198.0
45,025,"Chesterfield County, South Carolina",498,0.0,498.0
45,027,"Clarendon County, South Carolina",322,0.0,322.0
45,029,"Colleton County, South Carolina",378,0.0,378.0
45,031,"Darlington County, South Carolina",1139,0.0,1139.0
45,033,"Dillon County, South Carolina",452,0.0,452.0
45,035,"Dorchester County, South Carolina",2051,0.0,2051.0
45,037,"Edgefield County, South Carolina",263,0.0,263.0
45,039,"Fairfield County, South Carolina",156,0.0,156.0
45,041,"Florence County, South Carolina",4311,10206.0,14517.0
45,043,"Georgetown County, South Carolina",1816,1093.0,2909.0
45,045,"Greenville County, South Carolina",15210,9367.0,24577.0
45,047,"Greenwood County, South Carolina",1093,0.0,1093.0
45,049,"Hampton County, South Carolina",85,0.0,85.0
45,051,"Horry County, South Carolina",6277,3996.0,10273.0
45,053,"Jasper County, South Carolina",537,0.0,537.0
45,055,"Kershaw County, South Carolina",777,0.0,777.0
45,057,"Lancaster County, South Carolina",1015,764.0,1779.0
45,059,"Laurens County, South Carolina",347,0.0,347.0
45,061,"Lee County, South Carolina",135,0.0,135.0
45,063,"Lexington County, South Carolina",7192,4055.0,11247.0
45,067,"Marion County, South Carolina",467,0.0,467.0
45,069,"Marlboro County, South Carolina",374,0.0,374.0
45,071,"Newberry County, South Carolina",502,0.0,502.0
45,073,"Oconee County, South Carolina",658,0.0,658.0
45,075,"Orangeburg County, South Carolina",1171,0.0,1171.0
45,077,"Pickens County, South Carolina",1227,0.0,1227.0
45,079,"Richland County, South Carolina",10318,10805.0,21123.0
45,081,"Saluda County, South Carolina",62,0.0,62.0
45,083,"Spartanburg County, South Carolina",5632,3848.0,9480.0
