NAME,EMP,ESTAB,NAICS2017,state,county
"Carter County, Tennessee",65,10,51,47,019
"Cheatham County, Tennessee",33,3,51,47,021
"Claiborne County, Tennessee",31,10,51,47,025
"Cocke County, Tennessee",49,7,51,47,029
"Coffee County, Tennessee",272,18,51,47,031
"Davidson County, Tennessee",11255,699,51,47,037
"Decatur County, Tennessee",23,6,51,47,039
"DeKalb County, Tennessee",104,8,51,47,041
"Dickson County, Tennessee",94,14,51,47,043
"Dyer County, Tennessee",62,11,51,47,045
"Fayette County, Tennessee",13,7,51,47,047
"Fentress County, Tennessee",45,6,51,47,049
"Franklin County, Tennessee",64,13,51,47,051
"Gibson County, Tennessee",80,17,51,47,053
"Giles County, Tennessee",142,10,51,47,055
"Greene County, Tennessee",215,16,51,47,059
"Hamilton County, Tennessee",3413,171,51,47,065
"Hardeman County, Tennessee",25,8,51,47,069
"Hardin County, Tennessee",51,11,51,47,071
"Hawkins County, Tennessee",72,10,51,47,073
"Haywood County, Tennessee",36,8,51,47,075
"Henderson County, Tennessee",37,9,51,47,077
"Henry County, Tennessee",49,11,51,47,079
"Hickman County, Tennessee",23,6,51,47,081
"Humphreys County, Tennessee",17,6,51,47,085
"Jefferson County, Tennessee",38,6,51,47,089
"Knox County, Tennessee",5075,245,51,47,093
"Lauderdale County, Tennessee",21,8,51,47,097
"Lawrence County, Tennessee",81,12,51,47,099
"Lincoln County, Tennessee",99,10,51,47,103
"Loudon County, Tennessee",372,17,51,47,105
"McMinn County, Tennessee",142,19,51,47,107
"McNairy County, Tennessee",17,5,51,47,109
"Macon County, Tennessee",92,5,51,47,111
"Madison County, Tennessee",421,32,51,47,113
"Marion County, Tennessee",29,3,51,47,115
"Marshall County, Tennessee",129,9,51,47,117
"Maury County, Tennessee",199,36,51,47,119
"Monroe County, Tennessee",79,11,51,47,123
"Montgomery County, Tennessee",319,38,51,47,125
"Obion County, Tennessee",62,6,51,47,131
"Overton County, Tennessee",35,5,51,47,133
"Putnam County, Tennessee",370,29,51,47,141
"Rhea County, Tennessee",121,9,51,47,143
"Roane County, Tennessee",25,11,51,47,145
"Robertson County, Tennessee",29,11,51,47,147
"Rutherford County, Tennessee",1950,98,51,47,149
"Sevier County, Tennessee",241,31,51,47,155
"Shelby County, Tennessee",4487,362,51,47,157
"Smith County, Tennessee",25,6,51,47,159
"Sullivan County, Tennessee",666,46,51,47,163
"Sumner County, Tennessee",552,74,51,47,165
"Union County, Tennessee",13,6,51,47,173
"Warren County, Tennessee",168,12,51,47,177
"Washington County, Tennessee",1055,63,51,47,179
"Weakley County, Tennessee",98,12,51,47,183
"White County, Tennessee",36,5,51,47,185
"Williamson County, Tennessee",6038,282,51,47,187
"Alamance County, North Carolina",271,51,51,37,001
"Alexander County, North Carolina",19,4,51,37,003
"Alleghany County, North Carolina",18,5,51,37,005
"Ashe County, North Carolina",185,12,51,37,009
"Burke County, North Carolina",86,17,51,37,023
"Cherokee County, North Carolina",60,11,51,37,039
"Currituck County, North Carolina",24,7,51,37,053
"Dare County, North Carolina",142,30,51,37,055
"Davie County, North Carolina",28,8,51,37,059
"Gates County, North Carolina",4,3,51,37,073
"Granville County, North Carolina",32,7,51,37,077
"Halifax County, North Carolina",96,15,51,37,083
"Haywood County, North Carolina",108,17,51,37,087
"Hyde County, North Carolina",8,3,51,37,095
"Jackson County, North Carolina",60,14,51,37,099
"Madison County, North Carolina",6,5,51,37,115
"Perquimans County, North Carolina",8,5,51,37,143
"Person County, North Carolina",144,8,51,37,145
"Richmond County, North Carolina",35,8,51,37,153
"Rockingham County, North Carolina",91,21,51,37,157
"Stanly County, North Carolina",103,13,51,37,167
"Swain County, North Carolina",11,5,51,37,173
"Transylvania County, North Carolina",102,11,51,37,175
"Warren County, North Carolina",14,4,51,37,185
"Watauga County, North Carolina",384,24,51,37,189
"Wilkes County, North Carolina",288,21,51,37,193
"Yancey County, North Carolina",52,9,51,37,199
"Anson County, North Carolina",24,6,51,37,007
"Avery County, North Carolina",31,9,51,37,011
"Beaufort County, North Carolina",143,15,51,37,013
"Bertie County, North Carolina",10,4,51,37,015
"Bladen County, North Carolina",10,3,51,37,017
"Brunswick County, North Carolina",408,28,51,37,019
"Buncombe County, North Carolina",1468,148,51,37,021
"Cabarrus County, North Carolina",709,66,51,37,025
"Caldwell County, North Carolina",211,20,51,37,027
"Chatham County, North Carolina",116,19,51,37,037
"Chowan County, North Carolina",64,10,51,37,041
"Clay County, North Carolina",12,4,51,37,043
"Davidson County, North Carolina",174,27,51,37,057
"Duplin County, North Carolina",31,10,51,37,061
"Edgecombe County, North Carolina",107,30,51,37,065
"Franklin County, North Carolina",91,17,51,37,069
"Gaston County, North Carolina",487,46,51,37,071
"Harnett County, North Carolina",150,17,51,37,085
"Hertford County, North Carolina",45,11,51,37,091
"Hoke County, North Carolina",25,8,51,37,093
"Iredell County, North Carolina",499,54,51,37,097
"Johnston County, North Carolina",186,47,51,37,101
"Lee County, North Carolina",127,18,51,37,105
"Lenoir County, North Carolina",80,17,51,37,107
"Macon County, North Carolina",700,22,51,37,113
"Martin County, North Carolina",32,5,51,37,117
"Mitchell County, North Carolina",22,6,51,37,121
"Moore County, North Carolina",240,27,51,37,125
"Northampton County, North Carolina",9,3,51,37,131
"Onslow County, North Carolina",347,43,51,37,133
"Pasquotank County, North Carolina",217,16,51,37,139
"Pitt County, North Carolina",1502,73,51,37,147
"Polk County, North Carolina",28,5,51,37,149
"Randolph County, North Carolina",206,25,51,37,151
"Robeson County, North Carolina",154,19,51,37,155
"Rutherford County, North Carolina",207,17,51,37,161
"Sampson County, North Carolina",142,19,51,37,163
"Scotland County, North Carolina",81,14,51,37,165
"Stokes County, North Carolina",22,5,51,37,169
"Surry County, North Carolina",138,28,51,37,171
"Washington County, North Carolina",23,3,51,37,187
"Wilson County, North Carolina",269,15,51,37,195
"Yadkin County, North Carolina",145,10,51,37,197
"Columbus County, North Carolina",78,14,51,37,047
"McDowell County, North Carolina",38,6,51,37,111
"Vance County, North Carolina",95,10,51,37,181
"Wake County, North Carolina",28468,733,51,37,183
"Wayne County, North Carolina",181,28,51,37,191
"Carteret County, North Carolina",113,24,51,37,031
"Catawba County, North Carolina",601,51,51,37,035
"Cleveland County, North Carolina",127,21,51,37,045
"Craven County, North Carolina",263,30,51,37,049
"Cumberland County, North Carolina",1326,77,51,37,051
"Durham County, North Carolina",4585,186,51,37,063
"Forsyth County, North Carolina",1606,141,51,37,067
"Guilford County, North Carolina",5147,253,51,37,081
"Henderson County, North Carolina",273,40,51,37,089
"Lincoln County, North Carolina",128,23,51,37,109
"Mecklenburg County, North Carolina",20887,690,51,37,119
"Montgomery County, North Carolina",16,6,51,37,123
"Nash County, North Carolina",181,30,51,37,127
"New Hanover County, North Carolina",4344,132,51,37,129
"Orange County, North Carolina",757,83,51,37,135
"Pender County, North Carolina",23,8,51,37,141
"Rowan County, North Carolina",320,22,51,37,159
"Union County, North Carolina",487,68,51,37,179
"Abbeville County, South Carolina",91,5,51,45,001
"Aiken County, South Carolina",400,30,51,45,003
"Allendale County, South Carolina",11,5,51,45,005
"Barnwell County, South Carolina",15,7,51,45,011
"Colleton County, South Carolina",124,10,51,45,029
"Darlington County, South Carolina",69,13,51,45,031
"Dillon County, South Carolina",33,4,51,45,033
"Edgefield County, South Carolina",9,4,51,45,037
"Florence County, South Carolina",308,44,51,45,041
"Hampton County, South Carolina",12,3,51,45,049
"Jasper County, South Carolina",281,5,51,45,053
"Lancaster County, South Carolina",907,31,51,45,057
"Marion County, South Carolina",10,5,51,45,067
"Marlboro County, South Carolina",26,7,51,45,069
"Orangeburg County, South Carolina",153,17,51,45,075
"Williamsburg County, South Carolina",233,4,51,45,089
"Anderson County, South Carolina",351,42,51,45,007
"Beaufort County, South Carolina",520,72,51,45,013
"Berkeley County, South Carolina",4282,59,51,45,015
"Calhoun County, South Carolina",11,3,51,45,017
"Cherokee County, South Carolina",119,12,51,45,021
"Dorchester County, South Carolina",270,35,51,45,035
"Fairfield County, South Carolina",33,5,51,45,039
"Georgetown County, South Carolina",91,16,51,45,043
"Greenwood County, South Carolina",174,19,51,45,047
"Horry County, South Carolina",1714,132,51,45,051
"Kershaw County, South Carolina",1422,16,51,45,055
"Laurens County, South Carolina",100,14,51,45,059
